,Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A,Cluster
72079,1,1,1,5,1,5,5,1,5,5,5,4,1,5,1,5,5,1,5,1,2
65436,2,2,1,4,4,5,2,2,5,5,1,3,1,3,1,3,1,2,4,4,1
50226,4,1,3,5,5,5,2,1,4,5,1,5,5,5,2,1,3,5,5,1,2
59481,2,3,4,4,2,4,2,3,4,4,1,4,4,2,2,2,1,2,5,3,1
53048,5,5,3,2,5,3,1,4,2,1,3,3,1,1,3,5,1,4,5,5,4
53304,2,5,4,3,4,1,1,4,4,2,1,4,5,1,5,3,3,3,5,3,4
37176,5,5,2,1,5,3,2,5,4,1,1,5,5,2,4,2,5,4,5,2,3
51544,4,4,2,2,4,2,2,2,4,4,1,4,4,2,4,1,3,4,5,1,3
47285,3,3,1,4,5,2,1,4,1,2,1,4,1,1,4,1,1,5,5,5,3
40799,1,1,1,2,4,4,5,5,5,2,1,5,4,2,1,2,2,4,4,4,1
35971,5,5,1,1,5,1,1,5,1,1,1,5,5,1,5,4,1,5,5,4,3
44928,3,4,5,4,3,1,1,3,5,2,1,4,5,2,5,2,1,5,5,2,4
57966,3,2,4,2,5,5,2,3,5,5,2,4,3,2,3,2,4,4,5,3,1
43574,4,4,2,4,5,5,2,5,5,2,2,4,1,1,4,2,3,4,5,4,4
69469,1,4,5,1,4,4,2,5,5,5,1,3,1,1,4,1,1,1,5,1,1
64206,2,4,2,2,4,2,2,4,3,4,3,4,1,2,3,5,3,3,4,2,4
11189,5,5,5,4,4,3,3,5,3,2,2,4,5,3,5,3,2,4,4,5,4
55753,4,4,3,2,5,2,2,4,3,3,2,3,4,2,4,2,3,4,4,2,4
39510,5,5,1,1,5,1,1,5,1,1,1,5,5,1,5,5,1,5,5,5,3
5065,5,5,4,1,4,2,1,4,4,1,1,4,4,1,5,1,1,5,1,3,3
38957,4,3,1,1,5,4,1,5,5,1,1,5,4,1,5,1,1,5,5,2,3
63044,3,1,5,4,3,5,3,1,5,5,3,2,1,3,1,5,4,3,5,3,2
13379,2,1,1,2,2,4,2,2,5,4,2,4,1,3,3,1,4,5,4,2,2
52218,1,2,2,4,2,4,3,3,5,4,4,1,2,3,2,4,2,3,5,1,2
57820,1,1,1,5,1,5,4,1,5,5,3,1,1,3,1,3,5,1,1,1,2
936,1,1,2,4,4,2,1,1,5,3,1,5,3,1,4,1,1,5,5,5,4
58681,4,4,1,2,4,1,1,4,1,1,1,5,5,1,4,1,1,5,5,1,3
8194,3,3,4,4,4,4,5,5,4,5,4,4,5,4,2,5,3,5,4,3,1
45950,4,4,2,2,5,2,1,5,3,2,1,5,4,2,5,1,5,4,5,1,3
58856,5,5,1,1,5,1,1,5,1,1,1,5,5,1,5,1,1,5,5,2,3
16912,3,2,2,2,4,5,2,2,5,3,2,1,1,4,3,4,3,4,2,4,1
19949,2,3,4,3,2,2,1,1,4,3,1,1,2,2,4,5,4,3,4,1,2
67226,1,5,1,5,5,5,2,2,2,4,1,3,5,1,5,1,1,5,5,1,4
9309,5,5,1,4,5,1,5,1,5,4,1,5,1,4,1,5,1,1,1,5,2
49915,5,2,1,4,3,2,2,5,5,3,2,5,1,4,1,3,4,2,5,1,4
8006,2,3,2,4,4,3,2,4,4,2,3,4,3,3,4,4,2,4,5,1,4
41141,5,3,1,1,4,1,1,1,2,1,1,1,5,1,4,2,2,5,5,3,4
18519,1,1,3,1,1,3,4,1,3,5,1,3,1,1,1,1,1,3,5,1,2
52181,3,2,3,2,4,1,3,2,4,3,1,4,2,1,3,3,1,4,5,3,4
9083,4,5,5,1,4,2,1,4,2,1,1,5,4,1,4,2,1,5,5,4,3
22273,5,5,1,2,5,2,1,5,2,1,1,5,4,1,5,1,1,5,5,3,3
23551,1,5,5,5,1,5,5,1,5,5,1,1,1,1,5,1,1,5,1,1,2
51727,4,1,3,1,2,2,1,5,1,1,2,2,2,1,5,2,1,5,5,2,4
67778,2,4,2,3,4,2,2,4,4,1,2,2,2,3,5,1,1,4,5,2,4
2386,5,5,5,5,5,2,3,5,5,2,1,5,5,2,4,5,3,4,3,4,4
67451,4,4,4,4,1,4,2,2,4,5,3,1,1,3,4,1,1,4,4,4,1
60635,4,5,2,3,4,1,1,2,5,1,2,3,1,1,5,1,3,3,5,5,3
54201,3,2,2,3,4,2,2,2,2,2,1,4,2,2,4,2,2,4,5,4,4
28253,3,5,1,3,5,3,1,5,3,4,1,5,4,2,4,2,3,5,5,4,4
9753,5,5,1,1,5,1,1,5,1,1,1,5,5,1,5,1,1,5,5,5,3
24155,4,3,2,1,2,1,2,2,2,2,2,2,3,1,4,1,2,5,5,5,3
42806,5,5,1,1,5,1,1,5,1,5,1,5,5,1,5,1,1,5,5,1,3
51793,5,5,4,5,5,5,4,4,5,5,1,5,1,4,4,5,5,5,4,5,1
14041,5,5,2,1,4,2,1,1,3,1,2,4,3,2,5,4,2,4,5,3,3
4788,5,5,1,3,5,1,1,5,1,1,1,5,5,1,4,1,2,5,5,2,3
42052,2,4,4,2,4,5,4,4,5,5,2,5,2,3,4,2,1,3,2,4,1
37468,4,3,4,3,5,1,1,3,3,1,2,4,3,1,5,5,1,4,5,2,4
212,5,5,2,1,5,1,3,4,4,1,1,5,3,1,5,2,5,5,5,5,3
26202,4,2,4,4,2,4,3,2,2,3,2,5,1,3,2,2,3,1,5,1,2
15506,5,4,1,1,5,2,2,5,5,3,1,5,5,1,5,5,4,1,5,5,3
51508,4,1,4,5,1,5,5,2,5,4,5,2,1,1,1,5,2,1,1,1,2
25252,5,3,3,2,4,1,1,4,2,1,1,4,5,2,3,2,4,3,5,3,3
3304,5,4,2,2,5,1,2,4,5,4,2,3,2,1,5,1,1,4,5,2,4
48883,3,4,2,3,4,3,4,5,4,4,2,5,4,4,4,1,3,2,5,1,1
45751,4,3,3,1,5,3,2,5,3,3,2,5,4,1,4,2,1,4,5,5,3
15177,4,4,2,2,1,2,2,2,5,2,1,3,5,2,4,2,2,2,2,2,4
8829,1,2,5,5,2,4,3,3,5,5,3,1,1,3,3,1,4,1,2,1,2
25413,1,2,5,4,3,4,5,1,4,5,2,1,1,2,2,4,2,4,4,1,2
60745,5,1,1,1,5,1,1,5,1,1,1,5,5,1,5,1,1,5,5,5,3
30219,3,1,4,3,3,5,3,2,5,2,2,4,2,3,3,2,2,1,2,1,2
70438,5,4,3,1,5,1,1,5,5,2,1,5,2,1,1,5,1,5,5,3,4
40755,1,2,4,1,3,4,4,2,5,5,1,2,1,2,1,3,2,4,5,1,2
16131,4,4,2,2,4,3,2,5,4,3,3,5,5,2,4,1,3,4,5,4,4
11940,1,3,3,2,1,2,2,1,5,4,1,5,1,1,3,3,1,3,5,2,2
47003,3,2,4,4,2,4,2,2,5,5,2,5,4,2,4,1,2,2,4,2,1
69385,4,5,3,1,4,1,1,4,3,2,1,5,2,1,5,1,3,5,5,5,3
48544,5,5,2,2,5,2,2,2,5,2,1,4,1,2,1,4,5,4,5,1,4
25328,3,5,2,1,5,2,1,5,2,2,1,5,2,1,4,1,1,4,5,4,3
15292,3,1,3,4,1,2,1,2,5,2,3,1,2,1,1,4,1,1,5,1,2
50302,1,3,5,4,5,2,1,5,2,5,1,3,3,1,3,1,1,5,5,1,4
8501,4,4,2,1,4,3,1,4,3,4,2,4,3,1,4,4,1,2,5,3,4
967,4,5,2,2,4,1,2,4,3,2,2,4,5,3,4,4,2,5,5,4,3
70822,4,4,3,2,3,2,3,5,5,4,2,5,4,1,4,1,1,1,5,5,3
24784,5,2,1,3,5,1,1,1,4,1,1,2,4,1,5,1,2,2,5,2,4
11200,2,2,3,2,4,4,4,2,4,4,2,4,3,2,4,2,2,4,5,2,1
33253,3,4,3,5,1,4,4,4,5,4,3,1,1,2,4,4,2,4,4,3,2
5048,5,4,2,1,4,2,1,3,1,3,1,4,4,1,4,2,1,4,5,4,3
39674,1,5,5,5,1,1,1,5,5,5,4,1,1,5,5,1,2,1,5,4,4
42215,4,4,3,4,4,2,2,1,5,3,1,1,2,4,2,1,2,4,4,4,4
59008,5,5,1,5,1,5,1,4,1,1,5,5,1,1,1,5,5,1,3,1,2
51349,1,3,4,1,5,4,2,5,5,5,3,4,4,1,4,2,5,2,5,1,4
21741,3,4,3,3,2,1,1,4,1,2,1,5,3,1,4,3,1,5,5,1,4
21047,5,4,2,4,1,1,1,5,4,1,1,5,5,1,4,1,1,5,5,4,3
66865,4,2,5,3,3,4,1,4,4,2,1,5,1,1,5,1,1,5,5,5,4
25229,5,5,4,2,5,3,4,4,4,3,1,4,3,2,2,3,1,4,2,3,1
33302,5,5,5,2,5,1,5,2,4,2,2,5,2,4,4,2,2,2,5,1,3
26582,4,4,4,1,5,3,2,5,4,4,1,5,5,1,5,5,1,4,5,5,4
5395,1,1,5,5,1,5,5,1,5,5,5,1,1,5,1,5,1,1,1,1,2
57081,5,3,4,2,4,3,5,2,5,5,2,5,1,2,4,5,5,5,5,5,1
42934,4,4,1,1,5,5,1,3,3,4,1,3,5,4,3,5,2,4,5,5,4
72290,4,4,2,4,4,5,5,1,4,4,1,5,4,4,4,4,1,5,5,3,1
59791,1,3,5,5,1,5,2,1,5,5,1,2,4,2,5,5,4,4,4,4,2
24950,5,5,1,5,1,1,1,1,5,5,1,1,5,3,4,5,1,5,5,1,4
36402,2,3,4,1,3,2,1,5,4,1,1,5,5,1,4,1,1,5,5,1,4
