,Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A,Cluster
11614,5,4,5,4,5,2,1,5,2,4,2,5,2,1,4,1,1,5,5,1,2
11615,1,1,2,5,1,1,1,4,5,2,5,1,2,4,3,2,1,1,5,1,4
11616,2,4,5,2,4,1,2,1,5,1,1,1,1,2,3,1,5,1,1,1,4
11617,3,4,2,4,2,2,1,2,4,2,2,5,4,2,4,5,2,3,5,4,4
11618,5,2,1,4,3,4,4,4,5,4,4,4,3,4,4,4,4,4,5,2,4
11619,4,4,2,4,4,3,3,2,4,4,3,2,1,4,2,5,5,2,4,1,3
11620,1,4,4,4,1,4,1,1,4,4,2,1,1,4,2,2,4,2,5,2,3
11621,5,5,5,1,5,1,1,5,1,1,1,5,5,1,5,1,1,2,5,5,1
11622,5,4,2,1,4,2,1,2,2,1,2,5,5,2,5,2,2,5,4,3,1
11623,3,1,3,3,1,5,2,5,5,4,1,2,1,1,4,1,2,4,4,1,3
11624,1,4,2,4,4,2,3,1,5,5,2,2,4,2,3,1,2,4,1,2,4
11625,1,1,3,4,4,1,1,4,5,5,1,4,1,3,3,1,5,4,3,4,3
11626,4,4,1,1,4,1,1,3,5,2,1,5,5,1,3,1,1,1,3,4,4
11627,1,2,1,3,2,1,1,1,4,4,1,2,1,1,2,2,4,2,5,1,3
11628,4,4,2,4,3,2,2,2,5,2,2,5,4,4,4,2,2,2,4,2,4
11629,1,1,1,3,4,3,5,1,5,5,1,1,1,4,1,5,1,4,1,1,3
11630,3,4,3,1,4,1,1,4,3,4,1,5,2,2,4,2,1,1,5,1,4
11631,5,4,2,4,4,2,2,4,4,5,2,5,2,2,3,2,1,2,5,4,4
11632,4,2,2,2,4,4,4,4,5,5,3,4,2,3,1,4,2,3,4,1,4
11633,4,2,5,4,2,2,4,4,5,5,2,4,4,4,5,2,3,5,5,1,4
11634,5,2,5,2,4,2,5,4,5,5,1,4,3,3,1,2,2,4,5,5,2
11635,2,1,2,2,1,1,1,1,5,4,1,1,1,2,1,2,4,1,4,1,3
11636,3,4,2,3,4,1,1,5,2,4,2,5,2,1,5,1,1,4,5,1,2
11637,5,3,3,4,5,1,2,5,2,2,1,4,5,1,3,2,1,4,5,1,2
11638,4,1,5,4,2,2,4,2,5,5,1,4,2,4,4,4,1,2,5,4,3
11639,2,4,2,1,4,4,3,4,4,5,1,4,4,1,1,1,1,2,5,4,1
11640,5,5,1,2,4,1,1,4,1,1,1,5,2,1,5,1,1,5,5,2,2
11641,2,3,4,3,2,4,1,1,4,5,1,4,1,2,4,2,4,4,2,1,4
11642,2,4,2,3,2,1,1,3,2,3,1,5,2,2,3,4,4,4,5,2,4
11643,1,4,1,4,2,1,2,1,5,5,2,2,5,3,1,1,2,4,5,1,4
11644,4,5,2,1,4,1,1,4,4,2,1,5,2,1,5,4,1,2,5,5,1
11645,1,2,1,4,1,4,5,1,4,1,4,2,1,4,1,5,1,1,4,1,3
11646,4,4,1,4,3,3,1,4,5,4,3,4,1,4,4,3,3,5,5,2,4
11647,2,3,2,4,2,3,2,2,5,3,3,4,1,2,1,1,2,2,4,2,3
11648,4,2,1,3,1,1,1,4,5,5,1,4,2,1,2,1,2,4,5,1,2
11649,4,2,2,4,3,2,4,1,5,4,2,4,2,4,2,2,2,2,5,1,4
11650,2,2,4,2,2,2,2,2,5,4,2,4,1,3,3,1,1,2,1,1,4
11651,5,4,3,3,4,1,1,5,4,2,1,3,4,2,4,4,1,5,5,4,2
11652,1,4,5,5,1,5,2,1,5,5,4,4,1,4,3,4,2,1,4,1,3
11653,1,1,5,1,3,1,1,5,5,5,3,1,1,1,5,1,1,1,1,1,4
11654,2,4,5,5,4,5,2,2,5,5,2,4,3,2,3,4,1,4,4,3,4
11655,5,3,2,4,4,1,1,1,2,3,1,2,2,1,3,1,1,5,5,1,4
11656,3,4,4,3,2,2,1,5,4,2,2,5,2,2,4,2,1,3,2,1,4
11657,1,2,4,4,3,2,2,2,5,5,1,2,2,2,2,1,2,1,4,1,3
11658,5,5,2,2,4,1,1,5,1,2,1,5,2,2,5,1,1,4,5,1,2
11659,2,3,4,2,5,2,2,4,4,3,1,4,2,2,4,3,2,3,4,2,4
11660,5,2,1,4,5,1,1,1,5,2,2,5,4,1,1,1,5,2,5,4,4
11661,5,5,1,1,5,1,1,4,4,1,1,4,2,3,2,1,1,5,5,1,2
11662,3,4,2,5,4,2,2,3,5,2,1,4,2,1,4,1,1,3,5,3,2
11663,2,2,2,2,3,1,1,2,4,2,2,4,3,3,4,2,2,2,4,1,4
11664,1,4,2,2,5,1,1,5,4,2,1,5,4,2,5,1,2,4,5,5,1
11665,1,2,4,1,5,4,1,1,5,4,1,2,2,1,2,2,3,4,5,1,3
11666,4,3,3,3,3,4,3,4,5,4,2,4,2,1,2,2,3,2,4,1,4
11667,1,3,2,5,2,1,1,2,4,2,2,1,2,4,3,1,2,4,2,1,3
11668,2,4,2,2,4,2,1,4,5,2,1,4,2,2,4,1,1,4,5,2,2
11669,3,2,4,4,2,3,2,2,4,5,4,1,3,3,3,3,2,2,5,2,3
11670,1,1,2,4,5,3,1,4,5,5,2,1,1,3,3,5,1,2,5,1,3
11671,4,1,4,4,5,5,3,2,5,5,1,4,4,1,1,5,1,4,5,5,3
11672,1,1,5,5,1,5,5,1,5,5,5,1,1,5,1,5,5,1,3,1,3
11673,5,5,5,1,5,1,1,5,5,5,1,4,5,2,4,4,1,2,1,5,4
11674,2,4,4,2,2,1,1,1,4,2,2,2,1,3,4,1,2,1,5,1,4
11675,1,2,4,5,4,4,2,2,4,4,1,3,1,4,3,2,1,4,5,1,4
11676,3,2,2,5,2,3,1,1,5,5,3,2,1,3,2,4,4,2,5,1,3
11677,2,5,1,1,4,2,2,5,5,4,1,4,4,2,2,1,5,4,5,2,2
11678,1,1,4,5,1,4,2,1,5,5,2,1,1,2,1,1,2,1,5,1,3
11679,1,3,4,1,4,2,4,4,5,3,1,4,1,3,4,1,1,2,2,1,4
11680,1,4,2,2,5,2,1,2,5,2,2,4,4,2,2,2,2,1,5,2,4
11681,5,4,4,3,2,2,2,4,4,2,1,3,4,2,4,1,1,5,5,1,1
11682,5,1,1,1,5,4,1,1,5,1,1,5,5,1,1,2,1,5,5,5,2
11683,4,1,4,5,1,2,2,1,5,2,2,1,1,5,2,5,2,1,2,1,3
11684,1,2,5,3,2,1,1,4,5,5,1,5,1,4,3,4,3,1,5,4,4
11685,2,2,1,3,2,2,2,1,5,5,2,4,1,1,2,4,2,1,2,3,3
11686,4,4,2,4,4,4,4,1,5,5,2,1,1,2,1,5,2,2,1,1,3
11687,1,3,4,4,1,2,3,4,5,4,3,1,1,3,4,1,1,1,5,1,3
11688,1,2,2,3,5,1,1,4,5,4,1,4,1,3,1,2,1,1,5,1,4
11689,3,1,1,5,2,5,3,4,5,1,2,2,1,5,3,2,2,4,5,2,4
11690,1,2,1,5,1,1,1,1,5,1,1,1,1,4,1,5,1,1,1,1,3
11691,3,4,4,4,5,2,2,4,5,2,1,5,4,2,4,2,2,4,5,4,2
11692,2,4,4,2,1,4,4,2,5,4,2,3,2,3,3,2,3,2,3,4,3
11693,5,2,2,2,4,1,1,2,5,1,1,5,4,2,1,1,3,5,5,4,2
11694,1,1,1,2,4,1,1,2,2,4,1,5,5,1,1,1,1,4,5,1,2
11695,1,2,1,4,2,2,1,4,5,4,1,3,3,4,4,4,2,4,3,1,4
11696,5,5,5,5,1,1,1,3,5,5,1,5,1,1,3,1,1,5,5,1,4
11697,1,1,5,5,2,4,1,1,5,5,3,4,1,1,2,5,1,3,5,1,3
11698,2,4,2,5,4,2,2,4,5,5,2,5,5,2,2,1,1,2,5,1,2
11699,5,4,1,1,5,1,1,4,2,2,1,5,4,2,4,1,1,4,4,2,1
11700,1,2,1,4,1,1,2,1,5,5,1,2,2,2,1,1,2,3,5,1,3
11701,2,4,2,2,4,2,2,4,5,2,2,4,4,2,4,4,2,4,5,1,4
11702,5,5,3,1,4,2,1,5,4,4,1,5,4,1,4,2,2,3,5,4,1
11703,5,4,1,3,5,1,1,5,2,4,1,5,5,1,3,1,5,5,5,5,1
11704,2,4,3,4,4,3,2,3,3,3,2,4,2,2,4,2,1,4,5,3,2
11705,2,1,4,2,4,2,2,1,4,2,1,4,1,2,1,1,1,2,5,2,3
11706,5,5,3,5,4,2,2,2,5,2,2,5,4,4,4,2,2,5,5,4,2
11707,4,1,4,4,1,1,1,4,3,3,2,5,1,1,4,1,1,1,5,1,4
11708,4,2,2,2,4,1,1,4,5,2,1,5,4,2,4,1,1,5,5,4,2
11709,1,1,5,5,1,5,1,1,5,5,5,1,1,5,1,5,1,1,3,1,3
11710,2,5,2,1,5,2,3,2,2,2,2,5,5,1,4,1,1,2,5,2,2
11711,5,5,5,1,5,1,1,5,2,1,1,5,5,1,5,1,2,5,5,5,1
11712,5,4,4,2,4,1,2,1,5,2,2,4,1,2,4,2,2,2,4,2,4
11713,4,1,3,1,5,1,3,4,3,5,1,3,5,2,2,3,5,5,5,3,1
11714,3,4,4,3,3,2,2,4,4,5,2,3,4,2,1,1,4,4,5,5,1
11715,4,4,2,4,4,4,2,4,5,4,2,4,4,2,5,2,1,2,4,4,2
11716,1,1,5,1,5,1,1,1,5,5,1,5,4,1,1,1,1,5,5,1,2
11717,4,4,2,4,2,2,2,2,5,2,2,4,1,5,3,2,1,4,4,1,4
11718,1,1,1,4,4,2,1,1,5,5,2,2,2,3,1,2,2,4,5,1,3
11719,5,4,4,2,4,1,1,4,3,3,1,5,4,3,5,2,2,4,5,3,1
11720,2,4,4,3,2,2,2,3,5,3,2,4,2,4,2,5,2,3,4,2,4
11721,4,2,4,2,4,2,2,3,5,4,2,4,2,2,4,2,2,4,4,1,4
11722,1,2,4,5,4,1,1,4,5,5,2,2,4,4,2,2,2,2,3,1,4
11723,4,2,1,4,1,1,2,2,5,4,1,1,1,3,1,4,1,4,4,1,4
11724,2,4,1,4,2,2,2,1,5,2,2,2,3,2,5,1,1,4,1,1,3
11725,5,5,1,1,4,1,2,5,1,1,1,5,1,4,5,1,1,4,5,1,2
11726,1,1,1,2,5,1,1,4,5,3,1,4,4,1,4,1,5,5,1,1,4
11727,2,2,2,5,1,4,3,3,5,5,2,5,1,4,2,1,4,2,4,1,3
11728,5,4,1,3,4,1,1,4,4,2,1,3,2,2,4,1,1,2,5,1,2
11729,5,1,1,1,5,2,2,1,5,2,2,4,5,1,1,5,4,1,5,5,4
11730,1,1,5,1,4,5,4,2,5,5,3,5,2,3,3,5,1,1,5,5,3
11731,1,2,2,5,3,1,1,4,5,3,3,5,1,2,4,1,1,5,5,3,2
11732,1,4,4,5,2,4,4,2,5,2,1,5,1,1,3,1,2,5,5,1,4
11733,2,2,2,4,2,2,1,4,1,5,5,5,5,2,3,1,5,2,5,1,4
11734,3,2,1,2,4,1,1,2,4,5,1,5,1,2,2,1,1,4,5,1,3
11735,2,3,4,3,4,2,1,2,4,2,1,5,2,4,4,2,2,5,4,1,4
11736,1,2,4,5,1,4,1,1,5,5,1,1,1,5,4,5,2,4,5,1,3
11737,4,4,2,1,5,2,2,5,5,2,1,4,4,2,4,1,1,4,5,4,1
11738,4,5,2,2,4,1,1,4,3,2,1,5,1,1,5,1,1,4,5,1,2
11739,5,5,1,5,4,1,1,4,4,5,1,5,4,4,5,1,1,5,5,1,2
11740,3,2,3,3,4,2,1,2,3,3,2,4,4,2,4,2,3,3,5,1,4
11741,2,3,1,3,5,1,1,1,3,3,1,5,2,2,2,5,1,5,5,3,4
11742,1,2,2,3,4,4,4,4,5,3,3,4,2,2,2,4,2,2,4,2,3
11743,4,4,2,2,5,1,1,4,3,2,1,5,4,1,3,1,2,5,5,3,1
11744,1,1,5,5,1,5,4,1,5,1,1,4,1,5,3,2,4,1,5,1,3
11745,4,5,2,1,4,1,2,5,2,1,2,5,4,1,4,1,5,5,5,3,1
11746,1,4,3,4,2,1,2,1,5,3,2,5,1,2,4,4,2,3,2,1,4
11747,1,4,4,1,4,2,2,3,5,5,2,4,1,1,1,1,4,1,5,1,4
11748,2,2,3,4,2,4,2,4,5,4,3,4,3,3,3,2,2,1,4,1,4
11749,1,1,5,1,3,5,5,1,5,5,3,1,1,3,1,5,3,1,3,1,3
11750,2,2,3,5,1,1,2,1,4,3,2,1,1,4,3,4,4,2,3,1,3
11751,1,2,1,5,1,1,1,4,3,1,2,5,1,1,4,1,5,4,5,1,4
11752,4,2,3,3,4,3,3,4,5,2,3,1,1,3,3,3,2,4,4,1,4
11753,5,5,1,1,5,1,1,5,2,1,1,5,5,1,4,1,1,5,5,2,1
11754,2,1,4,5,1,5,4,1,5,5,3,1,2,3,1,5,2,1,5,1,3
11755,1,4,1,5,4,4,1,4,5,5,1,4,1,3,4,5,2,1,5,1,4
11756,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
11757,5,5,1,2,3,2,1,4,3,3,1,4,4,2,5,3,1,4,5,2,1
11758,4,4,1,4,4,2,1,2,5,2,1,4,2,2,4,2,2,1,5,1,2
11759,4,4,4,4,4,1,1,4,4,2,2,4,3,2,2,2,2,4,5,2,2
11760,1,1,2,5,3,2,5,2,5,5,2,1,1,4,1,1,3,1,4,2,3
11761,3,2,1,4,2,1,2,1,2,1,2,3,2,2,5,4,2,1,5,1,4
11762,4,4,2,2,4,2,1,4,3,2,3,4,4,2,4,1,2,5,5,1,1
11763,1,4,1,5,1,2,2,1,5,4,2,1,1,2,4,2,2,1,5,1,3
11764,4,1,5,3,2,4,4,4,5,5,3,3,3,3,3,3,4,2,3,2,3
11765,2,5,2,1,5,1,1,5,3,3,1,5,4,1,5,1,1,5,1,3,4
11766,2,2,1,4,1,4,1,1,2,4,2,1,1,1,4,4,4,2,3,4,4
11767,2,4,1,3,4,1,1,2,5,2,2,2,4,3,4,4,2,4,3,1,4
11768,2,1,4,2,4,2,2,5,4,2,2,4,1,2,2,4,2,2,4,4,4
11769,4,3,4,5,2,2,3,2,5,5,4,4,1,4,4,4,4,1,3,1,3
11770,5,1,1,2,1,1,1,2,4,5,1,5,3,1,5,1,5,2,5,1,4
11771,4,4,4,2,2,4,2,2,5,2,1,2,4,1,3,4,2,4,5,4,4
11772,1,2,2,5,1,2,2,1,5,5,1,1,1,5,1,2,2,1,4,1,3
11773,1,2,1,5,2,1,1,3,4,5,1,4,1,2,5,1,2,3,5,1,3
11774,2,4,2,4,2,5,4,4,4,4,2,4,4,2,2,2,1,4,5,3,4
11775,4,4,2,5,4,3,5,2,5,5,1,4,4,2,2,4,2,4,4,1,4
11776,5,5,1,3,4,1,1,5,3,1,1,5,5,1,5,1,1,5,5,5,1
11777,4,5,3,3,4,2,2,5,3,2,1,4,2,2,5,2,2,4,5,5,2
11778,4,1,5,4,1,4,2,2,5,5,1,5,4,1,4,2,1,2,2,1,4
11779,3,1,5,5,1,2,2,1,5,3,1,4,1,5,1,5,4,2,1,3,4
11780,1,1,1,5,2,2,2,4,5,4,1,4,1,4,1,5,1,5,5,1,3
11781,2,2,3,4,2,2,1,1,4,4,1,1,1,2,2,5,3,4,3,2,3
11782,4,3,1,4,3,2,2,2,5,4,2,2,1,3,1,2,2,2,4,1,3
11783,1,1,1,3,5,2,5,1,5,5,1,1,4,5,1,3,2,5,5,1,3
11784,1,2,3,4,3,1,1,2,4,5,3,2,1,3,1,1,2,1,5,2,3
11785,1,2,2,2,1,5,5,2,5,5,2,3,1,3,1,5,4,5,2,1,3
11786,4,2,4,1,4,1,1,5,4,4,1,4,4,1,1,1,4,5,5,2,4
11787,5,5,1,5,2,1,3,5,5,5,1,5,1,3,5,5,1,1,5,1,4
