,Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A,Cluster
6636,3,1,5,4,1,4,5,4,5,5,4,5,5,5,5,5,5,5,4,2,1
35852,3,3,5,4,3,4,3,2,5,5,4,4,1,3,4,3,2,3,3,1,0
11133,5,5,2,3,4,4,5,1,3,2,2,5,1,3,2,1,5,3,5,4,1
26180,5,2,2,4,4,2,1,3,3,1,1,5,4,1,3,2,1,5,4,2,1
66382,1,2,5,3,5,4,4,1,5,5,1,1,1,1,3,5,5,2,1,4,0
45290,4,3,2,2,4,1,2,4,3,2,2,5,3,1,4,1,2,2,5,3,1
26191,1,1,1,1,1,4,1,1,5,1,1,5,5,1,1,1,1,1,5,1,0
39357,5,5,3,1,5,1,1,4,2,1,1,5,5,1,5,2,2,5,5,5,1
54856,5,5,1,1,5,1,1,5,1,1,1,5,5,1,5,1,1,5,5,5,0
28650,3,4,1,3,4,2,1,3,5,3,1,3,3,1,4,1,2,4,1,3,1
45664,5,5,1,1,5,1,1,5,1,1,1,5,5,1,5,1,1,5,5,5,0
20280,5,5,2,4,5,2,1,5,3,5,1,5,3,1,5,1,1,5,1,5,1
37806,5,5,1,1,5,1,1,5,1,1,1,5,5,1,5,1,1,5,5,5,0
16002,5,3,3,2,3,2,1,5,5,5,1,5,4,5,1,5,5,4,5,3,1
54441,5,4,4,2,4,1,1,5,1,2,1,5,4,2,4,1,1,3,5,2,1
64329,3,5,2,3,4,1,2,4,2,2,1,4,4,2,3,1,1,4,5,1,1
63927,2,4,1,3,4,1,1,4,3,1,1,5,4,3,5,1,1,4,5,1,1
57844,2,2,3,4,4,4,2,1,5,5,2,4,2,4,3,1,3,4,5,1,0
57209,1,1,5,4,2,2,3,3,5,5,1,1,1,3,4,5,3,1,3,1,0
24216,5,3,5,4,2,1,1,4,4,4,1,1,1,2,2,1,1,2,5,2,0
70748,1,1,5,1,5,4,2,1,5,5,3,1,1,1,5,5,5,5,5,1,0
54366,1,1,4,1,3,5,5,2,4,5,3,2,1,1,1,3,1,1,5,2,0
52812,1,1,5,4,5,5,4,2,5,5,2,4,4,1,1,5,1,1,5,5,0
72579,2,4,5,5,2,5,3,2,5,5,2,3,1,2,4,2,5,4,4,1,0
34966,5,5,5,5,1,5,3,5,5,5,1,1,5,1,1,5,5,5,5,1,0
38358,1,2,5,2,2,2,2,2,4,4,1,4,1,2,4,2,4,4,5,2,0
49438,1,3,1,3,2,1,1,3,5,5,1,4,2,3,2,1,1,2,5,4,0
47421,1,4,2,4,4,4,1,2,5,4,1,4,2,2,4,5,3,1,5,1,0
9712,5,1,2,3,2,1,1,2,2,4,2,4,5,2,4,2,1,4,5,4,1
10307,5,5,2,3,5,3,1,4,2,1,3,5,5,3,5,2,1,5,5,1,1
24965,4,4,3,2,4,3,2,3,4,4,2,1,2,1,3,2,3,3,2,1,0
64707,3,2,4,1,4,3,3,5,5,4,3,5,5,1,1,1,1,2,5,2,1
13980,4,4,1,5,1,2,1,4,4,2,1,4,1,1,2,2,5,5,5,1,1
35765,1,1,5,2,2,5,5,1,5,5,4,5,1,1,1,3,5,1,5,3,0
54176,5,5,3,4,5,1,1,5,3,1,1,5,1,1,5,5,1,5,5,4,1
8193,4,1,2,1,4,3,1,5,3,3,1,4,4,1,4,1,1,5,5,2,1
31443,2,2,5,3,2,4,4,3,5,4,3,2,4,3,2,5,3,2,4,2,0
31806,1,2,4,4,1,1,2,5,5,3,1,5,1,1,4,1,1,1,5,1,0
38316,1,1,4,4,2,5,5,2,5,5,1,2,4,4,1,5,3,1,4,4,0
70240,5,1,5,1,5,4,2,1,1,5,1,5,5,1,1,1,1,5,5,1,1
60128,2,5,5,4,3,5,5,2,5,5,4,1,4,4,4,5,2,1,1,3,0
14311,4,3,2,3,4,3,3,3,3,3,2,3,4,3,4,1,3,4,5,3,1
49381,5,5,5,2,5,5,1,2,5,2,1,5,4,1,1,2,1,5,5,1,1
26834,5,4,2,2,4,1,1,5,2,2,1,4,2,1,5,2,1,5,4,2,1
31273,4,2,2,4,4,2,2,2,5,4,1,4,1,1,2,1,2,2,5,4,0
39515,1,1,1,4,1,2,5,1,5,5,1,2,3,3,3,5,4,1,5,1,0
64355,4,2,4,1,4,1,2,5,4,3,1,5,4,1,2,4,4,2,5,4,1
65817,2,4,3,3,2,2,2,2,4,2,1,4,4,3,4,3,4,4,5,1,1
1795,1,1,5,1,5,3,5,5,5,5,1,5,1,2,1,2,4,4,5,4,0
71376,4,4,2,2,4,1,1,4,4,4,1,5,5,1,4,4,2,4,5,2,1
53487,2,2,3,4,4,5,2,4,5,5,2,4,4,4,1,5,1,4,5,1,0
26126,2,2,4,5,5,4,5,4,4,5,5,2,1,5,2,5,3,4,3,1,0
37076,3,5,2,2,5,2,1,4,2,2,1,4,5,1,5,1,2,4,5,1,1
9455,4,4,2,4,3,2,1,3,4,2,2,5,2,2,5,1,3,4,4,2,1
67080,3,4,4,4,3,4,4,3,4,3,4,3,2,2,3,4,4,4,4,2,0
57502,5,4,1,1,5,1,1,5,1,2,1,5,3,1,4,1,1,5,5,2,1
57743,1,2,4,4,4,5,5,4,5,5,4,2,2,4,2,4,5,1,4,2,0
29781,5,5,2,5,5,1,2,4,1,2,2,4,4,5,4,2,4,4,5,2,1
41020,5,5,1,1,5,1,1,5,5,1,1,3,5,1,4,1,5,5,5,3,1
41376,1,1,4,4,1,4,2,1,4,5,1,1,2,2,1,2,4,4,5,1,0
