,Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A,Cluster
0,3,3,5,2,3,1,2,4,3,3,1,5,4,1,5,2,4,4,4,4,3
1,5,5,1,3,5,1,1,4,2,1,1,5,5,2,5,1,2,4,5,3,0
2,5,5,1,1,5,1,1,5,1,1,1,5,5,1,5,1,1,5,5,3,0
3,2,4,2,1,5,1,3,2,4,2,1,5,1,1,4,1,1,5,3,4,3
4,5,5,2,1,2,1,2,4,2,2,1,4,4,1,5,1,1,4,5,1,3
5,4,3,5,3,4,3,3,3,2,2,1,4,4,1,5,1,1,5,4,2,3
6,3,3,2,4,3,3,2,4,4,3,3,2,4,2,4,1,3,4,5,1,3
7,4,4,3,2,5,4,1,5,4,2,2,5,1,3,4,2,1,4,5,4,3
8,5,5,3,1,4,1,1,3,5,5,1,4,3,1,4,2,1,5,5,5,3
9,5,4,3,5,4,4,3,2,5,2,1,2,2,1,5,5,3,4,5,2,3
10,5,5,1,1,5,2,1,2,3,4,1,5,4,1,4,1,2,5,5,5,3
11,4,2,3,4,4,4,2,1,4,4,1,4,4,2,1,2,2,4,5,2,3
12,5,5,5,3,5,1,1,5,3,5,1,5,5,1,5,1,1,5,5,1,3
13,4,4,2,1,5,2,2,1,2,3,1,5,2,1,5,2,4,2,5,4,3
14,4,5,2,1,5,1,2,5,1,2,1,5,4,2,4,2,3,5,4,3,3
15,2,4,4,4,2,4,2,4,5,4,1,2,1,1,4,1,3,4,5,1,3
16,4,1,4,1,4,5,5,3,5,3,1,4,2,1,1,4,1,4,5,1,3
17,2,2,4,3,4,2,4,3,5,4,2,5,1,4,3,2,3,3,5,1,3
18,3,4,1,5,5,1,3,1,3,5,3,3,1,1,3,1,2,5,3,5,3
19,5,5,1,1,5,1,1,4,3,2,1,5,5,1,4,1,2,5,5,4,0
20,5,5,3,1,5,2,1,2,2,2,1,5,5,2,5,1,1,5,5,1,3
21,5,5,1,1,4,1,4,5,1,5,1,4,5,1,5,4,1,5,5,3,3
22,5,4,1,2,1,2,1,3,4,1,2,4,4,2,5,2,3,4,5,3,3
23,4,1,4,2,4,1,5,5,3,2,4,5,5,2,4,1,4,1,3,1,3
24,5,5,1,1,5,2,2,4,4,1,1,5,5,1,5,1,1,5,5,2,3
25,3,3,5,2,4,2,2,5,3,3,3,5,3,2,4,2,2,2,5,3,3
26,1,1,4,3,3,5,4,1,5,4,2,2,1,4,2,5,5,1,1,1,1
27,4,4,2,1,4,1,1,5,2,2,1,2,3,1,4,1,2,3,5,1,3
28,3,2,4,5,1,5,4,1,5,5,3,1,1,3,2,1,1,4,5,1,1
29,5,5,1,1,5,1,1,2,2,3,1,5,3,1,4,2,3,1,5,1,3
30,4,4,2,2,3,1,2,4,2,3,1,4,3,1,4,4,3,4,5,3,3
31,2,5,4,4,4,4,2,4,4,4,2,4,1,2,4,4,2,2,4,2,3
32,2,4,3,4,3,3,2,4,5,4,2,5,2,3,3,2,1,4,5,4,3
33,3,1,4,1,4,2,2,1,5,3,2,4,2,2,1,2,3,2,5,1,3
34,5,5,3,4,3,1,2,3,3,2,3,4,4,1,5,2,1,3,5,2,3
35,2,2,3,1,2,2,1,3,5,4,3,3,2,1,2,1,3,3,1,3,3
36,5,5,3,3,5,3,1,5,3,1,1,3,5,1,4,1,1,5,3,5,0
37,3,4,1,4,2,1,1,4,4,2,1,5,2,1,1,1,2,5,5,1,3
38,5,2,3,1,4,2,2,4,3,1,1,4,1,1,1,5,5,4,3,3,3
39,4,5,1,2,5,1,1,5,2,2,1,2,5,1,5,1,1,4,5,5,0
40,2,5,4,2,4,2,1,1,5,5,2,4,5,2,2,1,4,2,5,1,3
41,5,5,2,2,5,5,1,5,5,5,1,5,5,1,1,1,1,5,3,5,3
42,5,5,3,1,5,1,1,4,3,1,2,5,3,1,5,2,1,5,5,2,3
43,1,5,1,4,4,3,3,1,4,5,1,4,3,1,5,1,5,5,5,1,3
44,2,1,4,1,5,1,1,5,4,4,1,5,5,1,5,1,1,5,3,1,3
45,4,4,4,2,3,4,2,3,5,4,2,4,4,2,5,1,1,4,5,2,3
46,3,4,4,1,3,1,1,4,3,3,1,5,4,3,4,4,1,3,5,3,3
47,4,2,3,4,4,4,2,4,5,3,1,4,1,4,4,3,3,4,5,4,3
48,5,4,1,3,4,5,1,1,3,1,1,1,4,2,5,5,3,3,4,5,3
49,4,5,4,3,5,4,2,5,4,2,3,3,3,3,5,4,3,4,5,4,3
50,1,5,1,1,5,1,1,5,1,1,1,5,5,1,5,1,1,5,5,5,0
51,5,5,5,3,5,5,5,5,5,5,1,5,4,1,1,5,1,5,5,4,3
52,4,5,1,2,4,1,1,4,2,1,1,5,4,1,4,2,1,5,5,5,0
53,4,5,1,4,4,1,1,1,2,2,1,5,4,1,4,2,2,5,4,1,3
54,2,4,3,5,3,4,5,2,5,4,3,2,2,2,2,4,3,1,3,1,1
55,5,1,4,2,4,2,5,2,3,1,1,5,1,1,4,5,4,4,4,4,3
56,5,4,2,1,5,4,2,4,4,2,1,5,5,2,5,2,4,5,5,5,3
57,1,1,2,1,5,1,1,1,5,1,1,5,5,1,3,1,5,2,5,1,3
58,1,1,3,1,5,4,3,1,5,5,1,5,1,1,4,1,1,5,5,1,3
59,4,3,5,2,5,5,2,2,5,4,1,4,4,1,4,1,4,4,3,2,3
60,5,5,4,2,4,1,2,2,3,2,1,4,3,1,3,2,1,4,5,1,3
61,4,2,2,2,5,4,2,2,4,4,1,4,1,2,2,1,2,4,5,1,3
62,5,2,5,1,5,4,1,5,2,1,5,4,4,1,5,3,4,1,5,4,3
63,5,5,3,1,5,3,1,3,3,2,1,5,5,2,4,4,1,5,5,3,3
64,2,2,4,3,4,3,5,2,3,4,1,5,3,1,3,4,1,4,5,4,3
65,1,1,2,4,2,5,4,3,5,5,2,1,1,2,2,5,2,1,1,1,1
66,3,3,4,1,4,3,1,4,4,3,1,1,2,1,3,1,3,5,4,1,3
67,4,2,4,4,3,4,2,1,4,2,2,5,2,5,3,5,4,3,4,1,3
68,1,1,2,5,2,1,2,1,4,4,4,2,2,2,2,3,4,1,4,2,1
69,4,4,4,2,4,1,2,4,2,1,2,5,2,2,3,2,2,5,4,2,3
70,5,4,3,2,4,1,1,3,3,3,1,5,5,1,4,3,1,5,5,4,3
71,4,4,2,2,4,2,3,2,3,4,2,3,2,3,4,3,3,4,4,3,3
72,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3
73,1,1,5,3,4,5,5,1,5,5,2,1,1,2,3,4,2,1,5,1,1
74,2,1,2,2,5,5,2,3,5,5,1,5,1,1,4,2,1,5,5,3,3
75,3,4,3,4,3,2,1,1,2,1,1,4,3,1,4,3,2,5,1,1,3
76,5,5,2,4,5,2,1,3,3,2,1,5,5,2,4,1,1,4,4,3,3
77,5,5,2,2,4,2,1,4,4,2,3,5,4,2,5,2,3,4,5,5,3
78,3,4,4,3,4,1,2,2,4,4,1,2,4,2,3,1,3,4,5,2,3
79,3,3,3,1,4,2,2,4,2,2,1,4,4,2,4,2,3,3,5,4,3
80,5,4,4,5,5,5,5,1,4,4,3,4,2,3,4,2,5,4,2,4,3
81,5,4,2,3,4,2,2,3,3,2,1,5,2,1,5,1,5,4,4,4,3
82,2,4,4,4,3,4,2,4,5,2,2,4,1,4,4,1,2,4,2,1,3
83,5,5,1,1,5,1,1,5,2,1,1,1,1,1,3,1,1,4,5,1,3
84,5,2,4,2,5,5,5,5,5,5,5,5,5,4,5,5,1,5,1,4,3
85,3,5,2,2,5,2,1,1,5,1,3,5,4,1,4,1,2,4,5,4,3
86,4,5,4,1,5,2,1,4,4,5,1,5,5,1,4,5,1,5,4,2,3
87,5,4,4,4,4,1,5,5,1,3,1,5,5,1,4,2,1,4,5,3,3
88,5,4,1,2,4,1,1,4,4,5,2,5,4,1,3,3,3,5,4,1,3
89,4,5,1,4,5,4,2,4,2,5,1,5,2,1,2,1,1,4,5,3,3
90,4,2,1,1,5,1,1,4,4,3,1,5,4,1,3,1,1,4,5,4,3
91,1,2,2,3,2,2,1,1,5,3,1,2,1,1,5,1,2,3,2,2,3
92,5,5,1,4,4,3,1,2,1,3,1,2,1,1,2,5,1,5,5,1,3
93,5,4,2,1,5,4,3,5,5,4,5,5,4,2,2,2,1,5,5,5,3
94,2,4,4,4,3,4,2,4,4,4,3,2,2,2,4,4,2,3,5,1,3
95,5,4,2,4,4,3,1,2,5,4,2,5,1,2,5,1,4,5,3,5,3
96,3,5,5,1,3,5,5,5,5,5,1,1,1,1,1,5,1,1,5,1,3
97,4,1,1,5,1,2,2,4,5,5,1,4,2,1,3,2,1,4,2,1,3
98,5,1,5,4,2,5,5,1,5,3,5,1,5,3,1,1,2,1,4,1,1
99,5,5,1,5,5,1,1,4,1,1,1,5,5,2,5,4,1,5,5,5,0
100,4,5,2,3,4,2,2,3,3,4,1,5,5,1,4,2,1,5,5,2,3
101,5,2,3,2,2,2,1,2,3,2,1,3,3,1,3,4,3,4,4,1,3
102,5,4,3,3,4,3,2,4,2,2,2,4,3,2,5,1,1,5,5,5,3
