,Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A,Cluster
59916,2,2,3,3,5,3,3,2,5,4,1,5,4,2,4,1,4,2,5,4,1
59917,1,1,5,5,1,5,4,1,5,5,4,1,1,4,4,5,5,1,1,1,1
59918,5,5,2,1,1,1,1,4,3,1,1,2,4,1,2,1,5,5,4,4,1
59919,3,2,4,2,2,3,2,4,5,1,1,5,1,3,4,1,1,5,2,3,1
59920,4,4,2,2,4,1,1,5,2,2,1,5,4,2,4,1,3,4,5,5,0
59921,3,3,4,3,3,3,3,3,3,3,3,4,3,3,2,3,3,4,4,2,1
59922,4,5,2,3,3,1,3,3,3,3,1,4,4,3,4,1,5,5,5,1,1
59923,1,5,4,4,4,3,3,5,4,2,1,4,4,1,4,2,1,4,2,2,1
59924,2,4,4,4,2,5,4,4,5,4,2,4,4,2,4,2,5,4,1,2,1
59925,1,1,3,5,1,2,2,1,5,5,5,4,1,5,1,5,1,1,3,1,1
59926,4,2,4,5,2,2,2,1,4,2,2,4,1,3,2,1,2,4,4,1,1
59927,5,5,5,1,4,1,1,1,5,1,1,5,1,1,5,1,1,5,5,1,1
59928,3,5,5,3,4,3,3,1,5,5,5,5,1,5,5,1,5,5,5,1,1
59929,5,4,2,4,2,4,2,4,2,2,1,4,5,4,5,1,5,2,4,2,1
59930,3,3,4,4,4,4,3,2,5,4,2,5,3,3,4,5,3,4,5,3,1
59931,5,3,1,1,4,1,1,4,1,2,1,5,5,1,4,1,1,5,5,2,0
59932,3,4,3,2,2,2,2,2,4,4,2,2,1,4,4,1,3,4,5,1,1
59933,5,3,5,2,5,4,1,2,5,3,1,5,3,1,5,1,5,5,5,1,1
59934,5,5,2,1,5,1,2,5,3,1,1,5,5,1,4,1,1,4,5,5,0
59935,2,2,3,3,2,2,2,3,4,3,2,2,2,2,2,2,4,4,4,2,1
59936,4,5,1,1,5,1,1,2,1,1,1,5,4,1,5,1,2,5,3,2,0
59937,5,3,3,5,3,2,1,4,5,5,4,3,4,4,3,4,2,5,3,3,1
59938,1,3,5,5,1,5,5,1,5,5,4,1,1,4,3,5,5,1,5,1,1
59939,5,5,2,4,5,4,2,5,5,4,1,5,4,3,3,2,2,3,5,3,1
59940,5,5,5,2,5,5,1,2,5,1,1,5,4,1,3,3,4,5,5,3,1
59941,4,2,2,1,4,4,1,4,2,3,1,5,4,2,2,1,1,5,5,4,1
59942,5,4,3,3,5,1,4,5,3,5,2,4,5,1,4,2,1,5,4,5,1
59943,5,3,1,1,5,1,1,5,5,5,1,5,1,1,5,1,1,5,5,3,1
59944,5,4,1,1,4,1,1,1,1,2,1,4,4,1,3,5,1,4,5,1,0
59945,1,4,4,2,1,3,1,2,5,4,1,1,1,2,5,3,3,5,5,1,1
59946,4,3,1,4,3,2,1,5,2,2,2,5,3,1,3,1,1,5,5,2,0
59947,5,5,1,1,5,1,1,4,2,1,1,5,5,2,5,5,3,4,5,5,0
59948,1,5,5,5,4,4,2,2,5,5,1,2,2,1,3,5,1,1,5,4,1
59949,3,3,4,4,4,5,5,2,5,5,4,2,4,5,3,5,1,1,5,1,1
59950,2,2,3,4,2,4,4,3,5,4,4,4,1,1,3,1,4,2,5,2,1
59951,5,2,4,1,5,4,2,4,4,4,1,5,4,1,1,2,1,5,5,1,1
59952,3,2,3,3,4,3,3,4,4,2,2,1,2,2,4,3,1,4,3,1,1
59953,3,3,5,2,3,2,2,2,5,5,1,5,2,3,3,2,1,3,3,1,1
59954,4,1,4,3,5,4,2,4,5,3,1,5,2,2,1,4,1,1,5,5,1
59955,4,5,3,5,5,2,3,5,5,5,3,5,5,5,4,4,4,5,5,5,1
59956,1,1,5,1,4,5,4,4,5,5,2,2,1,3,1,4,1,4,3,1,1
59957,5,4,5,1,4,5,1,5,5,5,3,5,3,3,3,1,3,4,5,3,1
59958,4,5,5,5,2,5,5,4,5,5,4,2,5,5,4,4,1,1,1,2,1
59959,5,1,5,3,1,1,1,3,3,5,3,4,1,3,1,3,1,1,1,1,1
59960,5,5,3,1,5,1,1,5,3,1,1,5,5,1,1,1,1,5,5,1,0
59961,4,4,3,3,4,2,3,3,3,3,2,5,4,1,4,1,2,4,3,2,1
59962,2,5,2,1,5,4,2,5,5,5,2,4,1,2,4,2,1,5,5,3,1
59963,2,3,3,2,2,1,1,2,2,2,1,5,1,3,4,1,3,2,5,2,1
59964,1,1,5,5,1,5,5,4,5,5,2,1,4,4,1,2,1,4,5,2,1
59965,1,2,5,5,1,2,4,1,5,5,1,4,1,4,3,5,2,5,5,2,1
59966,1,1,4,2,2,3,2,1,5,5,1,1,1,3,4,5,2,1,4,1,1
59967,5,5,2,3,2,5,5,2,5,4,4,3,5,2,3,3,1,4,3,1,1
59968,5,5,1,1,5,1,1,5,1,5,1,5,5,1,2,1,1,5,5,5,0
59969,3,3,4,2,3,4,2,4,4,3,2,2,3,1,3,2,3,3,3,1,1
59970,5,1,4,4,5,4,4,3,5,5,5,5,3,3,5,3,4,5,5,3,1
59971,5,5,2,1,5,4,1,5,2,1,1,5,5,1,5,2,1,5,4,5,0
59972,5,4,5,4,4,5,5,4,4,2,2,4,2,3,4,4,2,5,4,5,1
59973,4,5,5,2,4,2,1,4,5,3,1,4,4,1,4,4,2,4,4,4,1
59974,5,5,1,4,5,1,1,2,4,1,2,5,5,1,4,1,4,5,3,5,1
59975,4,5,4,4,4,2,2,4,2,2,1,4,5,1,5,5,2,4,4,4,1
59976,2,2,1,3,2,2,1,2,4,5,3,4,1,1,4,5,1,1,2,1,1
59977,5,5,3,1,5,2,1,5,1,1,1,5,5,5,5,1,1,3,5,4,0
59978,1,1,3,5,1,4,2,2,5,2,3,1,2,3,4,2,4,3,3,2,1
59979,5,4,2,1,5,1,2,3,1,3,1,5,5,2,4,4,1,4,3,4,0
59980,2,4,2,2,4,5,2,4,1,2,2,5,1,1,5,1,2,5,1,5,1
59981,3,4,2,3,2,2,1,2,5,3,1,1,4,1,4,5,3,4,2,4,1
59982,1,1,5,3,2,4,4,2,5,5,4,2,1,4,3,3,3,1,4,1,1
59983,4,3,4,2,4,2,1,4,4,4,1,4,4,2,4,5,2,4,5,2,1
59984,4,5,2,3,5,1,1,4,4,2,1,5,4,1,5,3,2,3,5,4,0
59985,5,4,4,3,5,4,1,1,3,2,1,3,1,3,5,4,5,4,5,4,1
59986,1,1,2,4,1,3,5,1,5,5,3,4,1,1,1,5,3,1,5,1,1
59987,2,1,5,4,4,5,5,3,5,5,2,1,3,4,1,2,4,1,3,1,1
59988,4,2,2,4,4,2,2,5,3,4,2,4,3,2,4,2,3,3,5,2,1
59989,5,1,1,1,5,1,1,4,1,2,1,4,5,1,4,1,1,5,5,3,0
59990,4,4,4,4,4,2,2,5,5,4,1,4,5,5,2,2,1,5,5,2,1
59991,5,2,2,2,2,5,3,3,5,5,4,5,3,3,5,4,2,5,5,1,1
59992,4,4,1,1,5,1,1,4,2,1,1,4,5,1,4,1,2,4,5,1,0
59993,1,2,4,5,2,5,4,1,5,4,5,1,1,2,3,5,3,2,4,1,1
59994,5,5,1,1,4,1,1,5,1,1,1,5,5,1,5,1,1,5,5,3,0
59995,2,1,4,5,2,3,2,2,5,4,2,5,4,4,4,3,1,2,3,1,1
59996,2,4,1,3,1,3,3,1,5,5,3,1,1,1,2,4,3,3,1,3,1
59997,5,1,1,1,5,1,1,5,2,1,1,4,5,1,5,3,1,4,5,1,0
59998,3,1,3,2,4,2,1,3,4,3,1,4,1,1,3,1,2,4,5,1,1
59999,1,3,3,1,5,4,5,2,5,2,2,4,4,1,4,1,2,4,4,1,1
60000,5,5,5,1,5,1,3,5,5,3,1,5,5,1,5,4,1,5,5,3,1
60001,4,4,4,1,3,4,3,4,4,2,1,4,4,1,4,1,4,3,5,2,1
60002,5,5,1,5,3,1,1,1,1,1,1,5,5,1,5,1,3,5,5,1,0
60003,1,1,5,3,1,5,5,4,1,5,3,1,1,3,1,5,3,1,1,3,1
60004,5,5,2,2,4,1,1,1,3,1,1,4,5,2,5,4,1,5,5,5,0
60005,4,5,5,4,2,3,5,4,4,4,4,5,5,1,4,4,5,5,5,4,1
60006,2,4,4,4,4,4,4,5,5,4,3,5,3,4,4,5,2,1,5,4,1
60007,5,5,1,4,5,4,1,5,4,2,1,5,5,1,5,1,1,5,5,1,0
60008,5,5,2,1,5,1,1,5,1,2,1,5,5,1,5,1,3,4,5,4,0
60009,2,4,2,4,2,1,1,2,4,4,4,4,2,2,4,4,2,2,5,1,1
60010,5,5,4,2,5,2,2,5,2,2,2,5,5,4,5,3,1,5,5,4,0
60011,4,4,1,1,5,1,1,2,1,1,1,5,5,1,4,1,2,4,5,1,0
60012,1,1,3,5,1,3,3,1,5,5,3,1,1,5,3,3,3,1,3,1,1
60013,2,4,5,4,2,2,2,5,5,1,1,5,2,2,4,5,1,1,1,5,1
60014,2,4,4,2,5,4,2,2,4,3,1,4,4,1,1,1,5,2,5,1,1
60015,5,5,2,2,4,2,2,5,4,1,2,5,4,1,5,4,1,4,5,2,0
60016,5,2,2,1,5,2,4,4,5,5,1,3,2,1,1,5,1,3,1,1,1
60017,2,2,5,4,2,4,2,1,4,4,2,2,1,3,4,2,2,2,4,1,1
60018,1,1,5,3,5,1,1,1,5,5,1,3,3,3,3,5,3,1,5,1,1
60019,4,4,2,2,5,1,1,4,3,5,1,4,3,1,2,1,1,5,4,1,1
60020,2,5,1,5,4,5,1,2,5,5,5,2,2,5,5,1,2,5,5,1,1
60021,3,4,2,4,4,2,2,5,3,3,2,5,5,1,4,1,2,4,5,2,1
60022,4,4,4,1,5,2,4,5,5,5,1,5,4,2,1,2,3,3,5,5,1
60023,5,5,5,3,3,5,4,4,5,5,4,4,4,3,5,5,5,4,5,4,1
60024,2,3,5,5,4,5,5,4,5,5,5,3,3,3,3,5,2,5,4,4,1
60025,3,4,3,4,4,4,5,3,5,5,3,3,4,5,2,2,3,2,1,1,1
60026,3,2,5,3,5,3,3,3,4,3,3,1,1,1,3,2,5,2,5,1,1
60027,5,5,4,4,2,4,4,1,5,2,4,4,2,2,2,5,2,5,4,2,1
60028,2,3,4,3,3,3,3,2,4,4,1,4,5,1,2,3,2,1,4,2,1
