,Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A,Cluster
0,3,3,5,2,3,1,2,4,3,3,1,5,4,1,5,2,4,4,4,4,3
1,5,5,1,3,5,1,1,4,2,1,1,5,5,2,5,1,2,4,5,3,0
2,5,5,1,1,5,1,1,5,1,1,1,5,5,1,5,1,1,5,5,3,0
3,2,4,2,1,5,1,3,2,4,2,1,5,1,1,4,1,1,5,3,4,4
4,5,5,2,1,2,1,2,4,2,2,1,4,4,1,5,1,1,4,5,1,1
5,4,3,5,3,4,3,3,3,2,2,1,4,4,1,5,1,1,5,4,2,5
6,3,3,2,4,3,3,2,4,4,3,3,2,4,2,4,1,3,4,5,1,1
7,4,4,3,2,5,4,1,5,4,2,2,5,1,3,4,2,1,4,5,4,1
8,5,5,3,1,4,1,1,3,5,5,1,4,3,1,4,2,1,5,5,5,0
9,5,4,3,5,4,4,3,2,5,2,1,2,2,1,5,5,3,4,5,2,1
10,5,5,1,1,5,2,1,2,3,4,1,5,4,1,4,1,2,5,5,5,0
11,4,2,3,4,4,4,2,1,4,4,1,4,4,2,1,2,2,4,5,2,1
12,5,5,5,3,5,1,1,5,3,5,1,5,5,1,5,1,1,5,5,1,0
13,4,4,2,1,5,2,2,1,2,3,1,5,2,1,5,2,4,2,5,4,1
14,4,5,2,1,5,1,2,5,1,2,1,5,4,2,4,2,3,5,4,3,5
15,2,4,4,4,2,4,2,4,5,4,1,2,1,1,4,1,3,4,5,1,1
16,4,1,4,1,4,5,5,3,5,3,1,4,2,1,1,4,1,4,5,1,2
17,2,2,4,3,4,2,4,3,5,4,2,5,1,4,3,2,3,3,5,1,2
18,3,4,1,5,5,1,3,1,3,5,3,3,1,1,3,1,2,5,3,5,3
19,5,5,1,1,5,1,1,4,3,2,1,5,5,1,4,1,2,5,5,4,0
20,5,5,3,1,5,2,1,2,2,2,1,5,5,2,5,1,1,5,5,1,0
21,5,5,1,1,4,1,4,5,1,5,1,4,5,1,5,4,1,5,5,3,1
22,5,4,1,2,1,2,1,3,4,1,2,4,4,2,5,2,3,4,5,3,1
23,4,1,4,2,4,1,5,5,3,2,4,5,5,2,4,1,4,1,3,1,3
24,5,5,1,1,5,2,2,4,4,1,1,5,5,1,5,1,1,5,5,2,1
25,3,3,5,2,4,2,2,5,3,3,3,5,3,2,4,2,2,2,5,3,1
26,1,1,4,3,3,5,4,1,5,4,2,2,1,4,2,5,5,1,1,1,2
27,4,4,2,1,4,1,1,5,2,2,1,2,3,1,4,1,2,3,5,1,0
28,3,2,4,5,1,5,4,1,5,5,3,1,1,3,2,1,1,4,5,1,2
29,5,5,1,1,5,1,1,2,2,3,1,5,3,1,4,2,3,1,5,1,0
30,4,4,2,2,3,1,2,4,2,3,1,4,3,1,4,4,3,4,5,3,1
31,2,5,4,4,4,4,2,4,4,4,2,4,1,2,4,4,2,2,4,2,4
32,2,4,3,4,3,3,2,4,5,4,2,5,2,3,3,2,1,4,5,4,1
33,3,1,4,1,4,2,2,1,5,3,2,4,2,2,1,2,3,2,5,1,1
34,5,5,3,4,3,1,2,3,3,2,3,4,4,1,5,2,1,3,5,2,1
35,2,2,3,1,2,2,1,3,5,4,3,3,2,1,2,1,3,3,1,3,2
36,5,5,3,3,5,3,1,5,3,1,1,3,5,1,4,1,1,5,3,5,0
37,3,4,1,4,2,1,1,4,4,2,1,5,2,1,1,1,2,5,5,1,0
38,5,2,3,1,4,2,2,4,3,1,1,4,1,1,1,5,5,4,3,3,5
39,4,5,1,2,5,1,1,5,2,2,1,2,5,1,5,1,1,4,5,5,0
40,2,5,4,2,4,2,1,1,5,5,2,4,5,2,2,1,4,2,5,1,1
41,5,5,2,2,5,5,1,5,5,5,1,5,5,1,1,1,1,5,3,5,0
42,5,5,3,1,5,1,1,4,3,1,2,5,3,1,5,2,1,5,5,2,1
43,1,5,1,4,4,3,3,1,4,5,1,4,3,1,5,1,5,5,5,1,1
44,2,1,4,1,5,1,1,5,4,4,1,5,5,1,5,1,1,5,3,1,0
45,4,4,4,2,3,4,2,3,5,4,2,4,4,2,5,1,1,4,5,2,1
46,3,4,4,1,3,1,1,4,3,3,1,5,4,3,4,4,1,3,5,3,0
47,4,2,3,4,4,4,2,4,5,3,1,4,1,4,4,3,3,4,5,4,1
48,5,4,1,3,4,5,1,1,3,1,1,1,4,2,5,5,3,3,4,5,0
49,4,5,4,3,5,4,2,5,4,2,3,3,3,3,5,4,3,4,5,4,1
50,1,5,1,1,5,1,1,5,1,1,1,5,5,1,5,1,1,5,5,5,0
51,5,5,5,3,5,5,5,5,5,5,1,5,4,1,1,5,1,5,5,4,2
52,4,5,1,2,4,1,1,4,2,1,1,5,4,1,4,2,1,5,5,5,0
53,4,5,1,4,4,1,1,1,2,2,1,5,4,1,4,2,2,5,4,1,0
54,2,4,3,5,3,4,5,2,5,4,3,2,2,2,2,4,3,1,3,1,2
55,5,1,4,2,4,2,5,2,3,1,1,5,1,1,4,5,4,4,4,4,5
56,5,4,2,1,5,4,2,4,4,2,1,5,5,2,5,2,4,5,5,5,1
57,1,1,2,1,5,1,1,1,5,1,1,5,5,1,3,1,5,2,5,1,0
58,1,1,3,1,5,4,3,1,5,5,1,5,1,1,4,1,1,5,5,1,1
59,4,3,5,2,5,5,2,2,5,4,1,4,4,1,4,1,4,4,3,2,2
60,5,5,4,2,4,1,2,2,3,2,1,4,3,1,3,2,1,4,5,1,1
61,4,2,2,2,5,4,2,2,4,4,1,4,1,2,2,1,2,4,5,1,1
62,5,2,5,1,5,4,1,5,2,1,5,4,4,1,5,3,4,1,5,4,1
63,5,5,3,1,5,3,1,3,3,2,1,5,5,2,4,4,1,5,5,3,0
64,2,2,4,3,4,3,5,2,3,4,1,5,3,1,3,4,1,4,5,4,1
65,1,1,2,4,2,5,4,3,5,5,2,1,1,2,2,5,2,1,1,1,2
66,3,3,4,1,4,3,1,4,4,3,1,1,2,1,3,1,3,5,4,1,0
67,4,2,4,4,3,4,2,1,4,2,2,5,2,5,3,5,4,3,4,1,4
68,1,1,2,5,2,1,2,1,4,4,4,2,2,2,2,3,4,1,4,2,4
69,4,4,4,2,4,1,2,4,2,1,2,5,2,2,3,2,2,5,4,2,5
70,5,4,3,2,4,1,1,3,3,3,1,5,5,1,4,3,1,5,5,4,0
71,4,4,2,2,4,2,3,2,3,4,2,3,2,3,4,3,3,4,4,3,3
72,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,1
73,1,1,5,3,4,5,5,1,5,5,2,1,1,2,3,4,2,1,5,1,2
74,2,1,2,2,5,5,2,3,5,5,1,5,1,1,4,2,1,5,5,3,1
75,3,4,3,4,3,2,1,1,2,1,1,4,3,1,4,3,2,5,1,1,0
76,5,5,2,4,5,2,1,3,3,2,1,5,5,2,4,1,1,4,4,3,0
77,5,5,2,2,4,2,1,4,4,2,3,5,4,2,5,2,3,4,5,5,1
78,3,4,4,3,4,1,2,2,4,4,1,2,4,2,3,1,3,4,5,2,1
79,3,3,3,1,4,2,2,4,2,2,1,4,4,2,4,2,3,3,5,4,1
80,5,4,4,5,5,5,5,1,4,4,3,4,2,3,4,2,5,4,2,4,4
81,5,4,2,3,4,2,2,3,3,2,1,5,2,1,5,1,5,4,4,4,5
82,2,4,4,4,3,4,2,4,5,2,2,4,1,4,4,1,2,4,2,1,2
83,5,5,1,1,5,1,1,5,2,1,1,1,1,1,3,1,1,4,5,1,0
84,5,2,4,2,5,5,5,5,5,5,5,5,5,4,5,5,1,5,1,4,2
85,3,5,2,2,5,2,1,1,5,1,3,5,4,1,4,1,2,4,5,4,1
86,4,5,4,1,5,2,1,4,4,5,1,5,5,1,4,5,1,5,4,2,0
87,5,4,4,4,4,1,5,5,1,3,1,5,5,1,4,2,1,4,5,3,1
88,5,4,1,2,4,1,1,4,4,5,2,5,4,1,3,3,3,5,4,1,4
89,4,5,1,4,5,4,2,4,2,5,1,5,2,1,2,1,1,4,5,3,1
90,4,2,1,1,5,1,1,4,4,3,1,5,4,1,3,1,1,4,5,4,0
91,1,2,2,3,2,2,1,1,5,3,1,2,1,1,5,1,2,3,2,2,0
92,5,5,1,4,4,3,1,2,1,3,1,2,1,1,2,5,1,5,5,1,0
93,5,4,2,1,5,4,3,5,5,4,5,5,4,2,2,2,1,5,5,5,2
94,2,4,4,4,3,4,2,4,4,4,3,2,2,2,4,4,2,3,5,1,1
95,5,4,2,4,4,3,1,2,5,4,2,5,1,2,5,1,4,5,3,5,2
96,3,5,5,1,3,5,5,5,5,5,1,1,1,1,1,5,1,1,5,1,2
97,4,1,1,5,1,2,2,4,5,5,1,4,2,1,3,2,1,4,2,1,2
98,5,1,5,4,2,5,5,1,5,3,5,1,5,3,1,1,2,1,4,1,2
99,5,5,1,5,5,1,1,4,1,1,1,5,5,2,5,4,1,5,5,5,0
100,4,5,2,3,4,2,2,3,3,4,1,5,5,1,4,2,1,5,5,2,1
101,5,2,3,2,2,2,1,2,3,2,1,3,3,1,3,4,3,4,4,1,0
102,5,4,3,3,4,3,2,4,2,2,2,4,3,2,5,1,1,5,5,5,1
