,Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A
318,5,2,2,2,5,1,1,4,4,1,1,5,5,1,2,1,4,3,5,3
319,3,3,2,2,2,2,2,2,3,4,1,4,2,1,4,1,4,3,5,1
320,4,5,2,2,4,4,1,4,5,2,1,5,3,2,4,1,1,1,5,5
321,1,1,3,1,4,5,4,3,4,5,1,5,3,1,5,3,1,3,3,5
322,4,5,5,1,5,4,4,4,4,4,1,5,5,1,2,1,1,5,5,5
323,4,2,3,3,3,3,5,1,3,3,1,5,1,3,2,1,1,4,5,1
324,3,2,3,4,3,1,1,1,3,4,2,4,2,2,3,1,1,4,5,3
325,4,5,5,2,3,2,1,4,3,3,1,5,2,2,5,1,5,5,5,1
326,3,1,5,5,5,5,5,5,5,5,3,1,1,3,3,5,1,3,4,1
327,1,1,2,2,2,2,4,4,2,5,1,4,1,1,1,2,3,5,5,1
328,3,2,3,4,4,2,1,4,5,2,2,3,4,2,5,3,1,4,3,3
329,5,5,2,2,4,2,2,2,2,2,1,4,5,2,5,3,2,2,5,1
330,5,3,3,3,5,2,3,5,3,2,1,4,3,2,3,3,1,3,2,3
331,5,3,2,1,4,2,2,4,3,4,1,5,4,2,3,1,2,3,5,2
332,1,2,2,4,2,5,5,3,5,5,2,1,2,3,2,4,3,2,4,4
333,1,1,2,3,2,2,2,2,5,5,1,2,2,3,2,2,2,4,3,1
334,2,4,2,5,4,2,2,1,5,2,2,4,1,2,2,1,5,3,5,1
335,5,5,5,1,5,5,2,5,3,5,1,5,5,1,5,4,3,5,1,5
336,1,4,4,3,2,1,1,4,4,2,3,2,1,4,2,2,2,3,5,1
337,1,2,1,5,1,5,5,4,5,5,4,4,5,2,3,4,1,3,5,1
338,4,1,3,1,5,1,2,5,2,5,1,5,4,1,1,1,1,4,3,5
339,4,1,3,1,5,5,5,1,5,5,1,1,1,1,2,1,1,1,1,4
340,5,1,1,3,5,5,5,1,5,4,1,1,1,4,3,5,1,5,5,3
341,3,4,2,4,3,4,2,2,3,4,3,2,2,2,5,5,4,4,5,1
342,1,1,2,1,5,5,5,1,5,5,3,1,1,1,1,1,1,1,1,5
343,1,5,5,3,5,5,5,5,5,5,1,3,1,1,1,1,1,5,5,5
344,4,3,3,1,2,2,1,4,3,1,1,5,3,1,2,5,1,4,5,3
345,5,1,4,2,4,2,5,5,3,5,1,5,5,2,1,3,3,5,5,1
346,1,4,1,4,3,1,1,1,4,2,1,1,3,1,3,1,1,2,5,1
347,3,4,3,1,5,1,1,4,3,1,2,2,1,2,4,2,3,3,2,1
348,5,4,1,2,5,2,1,4,3,1,1,4,4,3,5,2,2,5,3,5
349,5,5,1,1,5,1,2,5,1,1,1,5,4,1,4,1,1,4,5,4
350,5,4,4,1,4,1,1,4,2,4,1,4,5,1,4,1,1,4,5,2
