,Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A
78,3,4,4,3,4,1,2,2,4,4,1,2,4,2,3,1,3,4,5,2
79,3,3,3,1,4,2,2,4,2,2,1,4,4,2,4,2,3,3,5,4
80,5,4,4,5,5,5,5,1,4,4,3,4,2,3,4,2,5,4,2,4
81,5,4,2,3,4,2,2,3,3,2,1,5,2,1,5,1,5,4,4,4
82,2,4,4,4,3,4,2,4,5,2,2,4,1,4,4,1,2,4,2,1
83,5,5,1,1,5,1,1,5,2,1,1,1,1,1,3,1,1,4,5,1
84,5,2,4,2,5,5,5,5,5,5,5,5,5,4,5,5,1,5,1,4
85,3,5,2,2,5,2,1,1,5,1,3,5,4,1,4,1,2,4,5,4
86,4,5,4,1,5,2,1,4,4,5,1,5,5,1,4,5,1,5,4,2
87,5,4,4,4,4,1,5,5,1,3,1,5,5,1,4,2,1,4,5,3
88,5,4,1,2,4,1,1,4,4,5,2,5,4,1,3,3,3,5,4,1
89,4,5,1,4,5,4,2,4,2,5,1,5,2,1,2,1,1,4,5,3
90,4,2,1,1,5,1,1,4,4,3,1,5,4,1,3,1,1,4,5,4
91,1,2,2,3,2,2,1,1,5,3,1,2,1,1,5,1,2,3,2,2
92,5,5,1,4,4,3,1,2,1,3,1,2,1,1,2,5,1,5,5,1
93,5,4,2,1,5,4,3,5,5,4,5,5,4,2,2,2,1,5,5,5
94,2,4,4,4,3,4,2,4,4,4,3,2,2,2,4,4,2,3,5,1
95,5,4,2,4,4,3,1,2,5,4,2,5,1,2,5,1,4,5,3,5
96,3,5,5,1,3,5,5,5,5,5,1,1,1,1,1,5,1,1,5,1
97,4,1,1,5,1,2,2,4,5,5,1,4,2,1,3,2,1,4,2,1
98,5,1,5,4,2,5,5,1,5,3,5,1,5,3,1,1,2,1,4,1
99,5,5,1,5,5,1,1,4,1,1,1,5,5,2,5,4,1,5,5,5
100,4,5,2,3,4,2,2,3,3,4,1,5,5,1,4,2,1,5,5,2
101,5,2,3,2,2,2,1,2,3,2,1,3,3,1,3,4,3,4,4,1
102,5,4,3,3,4,3,2,4,2,2,2,4,3,2,5,1,1,5,5,5
103,4,2,2,2,4,1,2,3,4,1,2,4,3,1,5,1,1,2,5,1
104,4,4,3,3,4,2,1,3,3,2,1,5,5,2,3,1,4,2,4,4
105,5,4,1,2,4,1,1,4,2,1,1,5,4,1,4,1,2,5,5,4
106,2,1,1,3,5,2,2,5,4,2,1,4,1,2,3,1,1,5,4,1
107,5,5,1,1,5,1,4,3,1,5,1,4,5,1,4,1,1,5,5,5
108,2,2,4,2,4,2,2,4,2,4,1,4,4,2,4,2,1,5,5,1
109,5,5,1,3,4,1,1,5,1,1,1,5,5,1,5,1,1,5,5,4
110,2,4,4,4,3,2,1,2,3,3,2,3,1,3,4,2,1,4,5,1
111,5,5,2,3,5,3,2,5,3,3,1,4,5,1,5,5,2,5,5,5
112,5,5,1,2,5,5,1,2,4,1,2,5,5,1,5,2,5,5,5,4
113,5,4,4,2,5,1,1,5,3,2,2,4,5,1,4,5,1,5,5,1
114,4,4,4,4,4,4,2,4,5,3,3,4,3,3,4,4,2,2,2,1
115,4,5,3,3,5,2,1,5,2,1,1,5,4,1,5,1,2,2,5,5
116,4,4,1,3,5,1,2,5,1,1,1,5,4,1,4,2,1,5,5,3
117,1,1,5,5,3,5,5,2,5,5,1,3,1,3,1,5,2,1,5,1
118,5,5,3,4,4,2,1,5,3,2,1,4,2,2,3,3,1,5,5,3
119,5,4,3,1,5,4,3,4,3,3,1,4,5,1,3,1,1,4,5,2
120,1,4,5,5,4,4,2,1,4,4,2,1,2,2,4,1,4,4,4,1
121,5,4,2,3,1,4,1,4,5,2,1,5,4,1,1,1,2,1,5,5
