,Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A,Cluster
70,5,4,3,2,4,1,1,3,3,3,1,5,5,1,4,3,1,5,5,4,0
71,4,4,2,2,4,2,3,2,3,4,2,3,2,3,4,3,3,4,4,3,3
72,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,1
73,1,1,5,3,4,5,5,1,5,5,2,1,1,2,3,4,2,1,5,1,2
74,2,1,2,2,5,5,2,3,5,5,1,5,1,1,4,2,1,5,5,3,3
75,3,4,3,4,3,2,1,1,2,1,1,4,3,1,4,3,2,5,1,1,3
76,5,5,2,4,5,2,1,3,3,2,1,5,5,2,4,1,1,4,4,3,0
77,5,5,2,2,4,2,1,4,4,2,3,5,4,2,5,2,3,4,5,5,0
78,3,4,4,3,4,1,2,2,4,4,1,2,4,2,3,1,3,4,5,2,3
79,3,3,3,1,4,2,2,4,2,2,1,4,4,2,4,2,3,3,5,4,0
80,5,4,4,5,5,5,5,1,4,4,3,4,2,3,4,2,5,4,2,4,1
81,5,4,2,3,4,2,2,3,3,2,1,5,2,1,5,1,5,4,4,4,0
82,2,4,4,4,3,4,2,4,5,2,2,4,1,4,4,1,2,4,2,1,3
83,5,5,1,1,5,1,1,5,2,1,1,1,1,1,3,1,1,4,5,1,0
84,5,2,4,2,5,5,5,5,5,5,5,5,5,4,5,5,1,5,1,4,1
85,3,5,2,2,5,2,1,1,5,1,3,5,4,1,4,1,2,4,5,4,0
86,4,5,4,1,5,2,1,4,4,5,1,5,5,1,4,5,1,5,4,2,1
87,5,4,4,4,4,1,5,5,1,3,1,5,5,1,4,2,1,4,5,3,0
88,5,4,1,2,4,1,1,4,4,5,2,5,4,1,3,3,3,5,4,1,0
89,4,5,1,4,5,4,2,4,2,5,1,5,2,1,2,1,1,4,5,3,0
90,4,2,1,1,5,1,1,4,4,3,1,5,4,1,3,1,1,4,5,4,0
91,1,2,2,3,2,2,1,1,5,3,1,2,1,1,5,1,2,3,2,2,3
92,5,5,1,4,4,3,1,2,1,3,1,2,1,1,2,5,1,5,5,1,3
93,5,4,2,1,5,4,3,5,5,4,5,5,4,2,2,2,1,5,5,5,1
94,2,4,4,4,3,4,2,4,4,4,3,2,2,2,4,4,2,3,5,1,2
95,5,4,2,4,4,3,1,2,5,4,2,5,1,2,5,1,4,5,3,5,3
96,3,5,5,1,3,5,5,5,5,5,1,1,1,1,1,5,1,1,5,1,2
97,4,1,1,5,1,2,2,4,5,5,1,4,2,1,3,2,1,4,2,1,3
98,5,1,5,4,2,5,5,1,5,3,5,1,5,3,1,1,2,1,4,1,2
99,5,5,1,5,5,1,1,4,1,1,1,5,5,2,5,4,1,5,5,5,0
100,4,5,2,3,4,2,2,3,3,4,1,5,5,1,4,2,1,5,5,2,0
101,5,2,3,2,2,2,1,2,3,2,1,3,3,1,3,4,3,4,4,1,3
102,5,4,3,3,4,3,2,4,2,2,2,4,3,2,5,1,1,5,5,5,0
103,4,2,2,2,4,1,2,3,4,1,2,4,3,1,5,1,1,2,5,1,3
104,4,4,3,3,4,2,1,3,3,2,1,5,5,2,3,1,4,2,4,4,0
105,5,4,1,2,4,1,1,4,2,1,1,5,4,1,4,1,2,5,5,4,0
106,2,1,1,3,5,2,2,5,4,2,1,4,1,2,3,1,1,5,4,1,3
107,5,5,1,1,5,1,4,3,1,5,1,4,5,1,4,1,1,5,5,5,0
108,2,2,4,2,4,2,2,4,2,4,1,4,4,2,4,2,1,5,5,1,3
109,5,5,1,3,4,1,1,5,1,1,1,5,5,1,5,1,1,5,5,4,0
110,2,4,4,4,3,2,1,2,3,3,2,3,1,3,4,2,1,4,5,1,3
111,5,5,2,3,5,3,2,5,3,3,1,4,5,1,5,5,2,5,5,5,0
112,5,5,1,2,5,5,1,2,4,1,2,5,5,1,5,2,5,5,5,4,0
113,5,4,4,2,5,1,1,5,3,2,2,4,5,1,4,5,1,5,5,1,0
114,4,4,4,4,4,4,2,4,5,3,3,4,3,3,4,4,2,2,2,1,1
115,4,5,3,3,5,2,1,5,2,1,1,5,4,1,5,1,2,2,5,5,0
116,4,4,1,3,5,1,2,5,1,1,1,5,4,1,4,2,1,5,5,3,0
117,1,1,5,5,3,5,5,2,5,5,1,3,1,3,1,5,2,1,5,1,2
118,5,5,3,4,4,2,1,5,3,2,1,4,2,2,3,3,1,5,5,3,0
119,5,4,3,1,5,4,3,4,3,3,1,4,5,1,3,1,1,4,5,2,0
120,1,4,5,5,4,4,2,1,4,4,2,1,2,2,4,1,4,4,4,1,2
121,5,4,2,3,1,4,1,4,5,2,1,5,4,1,1,1,2,1,5,5,1
122,4,4,1,3,4,1,1,3,2,2,4,4,1,1,5,4,1,3,5,3,0
123,1,1,3,5,1,5,5,2,5,1,5,2,1,5,1,5,3,1,5,1,2
124,1,2,4,2,1,2,2,1,5,5,2,2,1,3,1,5,1,1,3,1,2
125,1,1,5,4,4,5,5,1,5,5,1,3,3,2,1,4,1,2,3,1,2
126,4,4,1,3,4,1,2,5,2,1,1,5,4,1,4,1,1,4,5,2,0
127,1,2,2,5,3,4,4,1,4,5,5,5,1,5,1,4,3,3,5,2,2
128,2,5,4,1,5,2,1,2,5,5,1,5,1,1,4,5,1,5,5,1,3
129,5,5,3,4,5,3,3,3,4,2,2,4,3,3,5,3,2,4,5,1,1
130,5,5,1,1,5,1,1,5,1,1,1,5,5,1,5,1,5,1,5,5,0
131,4,4,3,1,4,4,3,4,4,4,3,4,3,2,4,5,5,3,5,5,1
132,5,5,1,1,5,1,1,5,1,1,1,5,1,1,4,1,1,5,5,5,0
133,5,4,4,3,5,3,5,5,5,2,1,5,5,2,3,2,4,5,4,3,1
134,3,4,2,1,4,1,1,4,3,1,3,3,2,2,2,2,1,4,5,2,3
135,1,2,5,4,2,4,3,4,5,4,2,4,1,4,2,4,2,2,4,1,2
136,4,3,4,3,4,1,2,5,5,2,1,4,4,2,5,4,1,4,5,3,1
137,5,4,1,1,5,1,1,2,3,1,1,5,4,1,1,1,1,3,5,3,0
138,5,4,3,3,5,3,1,4,3,1,2,5,1,1,3,2,1,1,3,5,0
139,4,3,2,3,4,2,1,2,3,3,2,5,2,1,3,3,1,3,5,1,3
140,5,4,4,3,5,1,1,4,3,1,1,4,2,2,4,3,1,4,5,5,0
141,5,4,3,4,4,2,2,4,4,1,1,5,4,1,4,5,2,5,5,3,0
142,4,4,3,4,3,4,4,4,4,3,1,4,1,2,3,3,2,4,3,1,1
143,3,4,4,4,4,3,2,3,5,3,1,4,4,1,4,4,1,4,5,1,1
144,5,5,1,1,4,1,1,5,4,4,1,5,5,1,1,1,1,5,5,1,0
145,3,4,4,3,4,1,1,4,4,3,1,5,4,4,2,1,2,4,4,4,3
146,1,1,5,5,4,5,1,1,5,5,4,1,1,2,1,2,5,5,5,5,2
147,4,4,1,2,2,1,1,2,3,3,2,2,4,1,5,2,2,4,4,1,3
148,1,2,4,1,2,3,3,1,5,5,4,2,1,2,1,2,1,4,5,2,2
149,5,5,1,5,5,1,1,1,1,1,1,5,5,1,5,1,1,5,5,5,0
150,4,5,4,2,3,3,3,4,4,3,1,4,1,1,5,1,1,2,4,4,1
151,5,5,3,2,5,3,3,4,4,4,1,5,5,1,3,3,2,5,5,4,1
152,1,3,3,3,3,4,1,3,1,3,1,4,1,1,3,3,1,5,5,1,3
153,1,1,4,4,2,4,2,1,5,2,1,2,1,2,4,4,4,4,5,1,2
154,5,4,1,1,5,1,1,4,2,2,1,5,5,1,1,1,1,4,5,3,0
155,1,1,1,5,1,5,2,1,5,4,3,1,1,2,4,3,5,5,4,1,2
156,3,2,4,4,4,3,4,2,5,4,3,4,2,3,3,2,3,2,4,3,2
157,5,5,1,1,5,1,1,5,1,1,1,5,4,1,4,1,1,5,4,1,0
158,1,5,2,1,5,1,1,2,2,1,1,5,5,1,5,1,1,5,5,5,0
159,1,1,5,5,1,5,5,3,5,5,2,1,2,4,1,4,5,2,5,1,2
160,1,1,2,4,2,5,2,1,5,2,5,1,1,4,2,2,1,2,5,1,2
161,4,4,2,4,4,4,2,5,2,1,2,4,5,2,4,4,1,5,2,5,0
162,3,4,1,1,4,1,2,4,4,2,1,5,5,1,4,1,1,2,5,5,0
163,5,5,1,1,5,1,1,5,3,1,1,4,5,1,4,1,1,4,5,5,0
164,4,2,2,2,5,3,2,2,4,4,2,1,2,2,2,5,3,2,3,3,2
165,5,4,2,3,4,2,1,4,5,5,1,2,4,2,3,5,2,4,5,1,1
166,4,3,3,2,4,2,2,2,5,2,1,4,5,1,4,4,1,4,5,5,0
167,3,5,3,3,3,3,3,3,3,3,1,3,1,3,3,3,4,3,2,3,1
168,4,4,1,4,5,2,1,5,4,1,2,4,2,1,4,2,2,5,5,1,0
169,1,3,5,5,2,5,3,4,5,5,1,4,1,5,1,1,3,1,3,1,2
170,1,2,3,2,4,3,2,2,5,1,1,1,1,2,5,5,3,4,3,1,3
171,4,5,4,5,4,3,2,2,5,5,2,1,2,4,5,4,1,2,5,1,2
172,5,5,5,1,5,1,5,5,5,1,1,1,5,1,5,1,3,5,5,1,0
173,5,5,2,3,5,3,1,5,3,5,1,2,5,2,3,2,1,4,5,1,0
174,5,5,2,1,5,2,2,5,3,2,1,4,5,1,5,5,1,5,5,2,0
175,3,4,2,1,4,1,1,2,3,4,1,5,1,1,4,1,3,5,5,1,3
176,2,2,4,3,4,5,4,2,5,5,1,4,1,1,3,2,3,5,5,1,2
177,5,5,1,2,5,1,1,5,2,2,1,5,5,1,5,1,1,4,5,4,0
178,5,4,3,1,5,1,1,5,3,3,1,5,5,1,4,1,1,3,5,3,0
179,5,5,1,1,5,2,1,4,3,4,1,5,5,2,5,2,1,5,5,5,0
180,2,4,4,4,1,3,3,1,5,4,3,4,2,2,2,3,5,3,2,1,2
181,3,4,2,4,4,1,1,1,1,2,1,5,1,2,3,5,1,4,5,3,3
182,5,5,1,3,4,1,1,5,1,1,1,5,5,1,5,5,2,5,5,4,0
183,5,4,2,3,5,1,1,4,3,1,1,5,5,1,5,4,3,3,5,4,0
184,2,1,3,4,3,3,2,4,5,4,2,4,1,3,4,4,5,2,5,1,2
185,5,4,1,1,5,1,1,5,5,2,1,4,5,1,5,1,4,5,5,2,0
186,5,5,4,1,5,1,1,4,4,5,1,3,5,1,5,3,1,5,5,1,0
187,5,5,2,2,4,2,1,4,2,2,1,5,4,1,5,1,2,5,5,2,0
188,5,2,2,1,5,2,2,2,3,3,1,5,2,1,3,1,3,4,5,4,0
189,5,5,1,3,3,1,1,4,1,2,1,5,4,1,4,2,1,4,5,3,0
190,3,4,1,1,4,1,1,5,1,1,1,5,3,1,3,1,1,5,5,3,0
191,2,3,4,3,4,4,5,2,5,3,1,4,4,1,4,3,1,4,1,4,1
192,4,4,1,1,3,1,1,4,1,1,1,5,4,1,3,1,2,4,3,4,0
193,1,1,2,5,1,5,5,1,5,1,2,1,1,5,1,5,1,2,3,1,2
194,5,5,2,3,4,2,1,4,4,2,2,4,3,1,4,2,1,5,5,4,0
195,5,4,2,2,5,1,1,4,2,1,2,5,4,2,5,1,1,4,5,5,0
196,3,5,2,3,5,4,1,4,5,1,1,4,1,3,4,4,1,5,5,1,3
197,1,5,4,5,5,5,2,4,5,5,3,1,3,2,1,5,5,5,2,2,2
198,5,5,1,1,5,3,1,5,5,1,1,4,5,1,5,3,1,5,3,1,0
199,5,5,1,4,1,1,1,5,5,1,1,5,1,1,5,2,1,5,3,5,0
200,4,4,3,3,5,3,2,4,4,2,1,4,2,2,5,5,2,4,4,2,1
201,5,4,2,2,5,4,1,4,2,1,1,4,5,2,5,1,1,4,3,1,0
202,4,4,2,1,4,2,2,2,4,5,1,5,3,2,4,1,3,5,4,3,3
203,4,2,3,2,5,2,1,4,4,2,1,2,3,1,1,1,4,5,5,4,3
204,2,1,1,2,5,1,4,4,2,2,1,4,4,1,4,1,2,4,5,4,0
205,1,4,5,4,1,2,1,2,5,5,1,1,4,3,3,5,1,1,4,1,2
206,5,5,1,1,5,1,1,5,1,1,1,5,5,1,5,1,1,5,5,5,0
207,2,5,1,2,5,1,1,3,3,3,1,5,3,1,5,1,3,5,5,3,0
208,1,1,5,5,1,4,1,5,5,5,1,5,1,1,1,4,4,4,5,1,2
