,Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A,Cluster
37533,4,2,4,2,2,3,2,2,5,4,2,3,2,2,2,3,4,4,5,3,1
28397,5,5,1,1,4,1,1,5,1,1,1,5,5,1,5,1,1,5,5,5,0
8748,5,5,1,1,5,4,1,5,5,2,1,5,4,1,1,1,1,1,5,4,0
69249,3,2,2,3,4,2,1,4,4,2,2,3,2,3,3,1,3,4,2,4,0
45848,4,4,4,4,5,2,1,2,4,2,2,4,2,2,4,2,2,4,5,2,0
22780,5,1,5,3,5,3,5,5,5,4,2,4,5,1,3,3,1,3,5,1,1
59664,1,1,3,4,1,3,1,1,5,5,3,1,1,3,1,3,3,4,4,1,1
7383,1,1,5,3,3,5,5,1,5,3,3,2,1,3,4,5,4,4,1,1,1
37928,3,2,2,2,2,1,1,2,2,3,1,5,4,1,2,1,1,5,5,4,0
52074,5,4,1,3,4,2,3,4,2,4,2,5,4,2,4,3,1,4,5,2,0
10942,1,1,5,4,2,5,4,4,5,5,2,3,2,2,3,4,1,2,1,1,1
26904,5,4,1,1,5,1,1,5,4,1,1,4,4,1,4,1,5,5,5,4,0
39844,1,1,1,1,2,1,1,5,5,5,1,2,1,1,1,1,1,5,1,1,1
56266,5,4,1,1,5,3,1,5,3,1,1,3,4,1,5,1,1,5,4,4,0
8617,4,5,1,1,5,1,1,4,3,4,1,5,4,1,5,1,5,5,5,5,0
8341,3,1,1,1,3,3,5,3,5,3,1,3,5,3,1,5,3,2,1,5,1
9405,5,5,2,1,3,1,1,4,2,2,1,4,4,1,4,4,1,4,5,2,0
15469,1,1,2,2,3,1,1,4,3,4,1,4,1,1,4,2,1,1,3,1,1
37937,1,1,4,5,2,4,2,1,5,5,2,1,1,4,4,5,2,4,5,1,1
46707,5,2,1,3,5,1,1,1,4,4,1,5,3,2,4,1,5,4,1,1,0
46252,1,1,5,2,4,4,4,1,5,5,1,4,1,4,1,1,5,3,3,2,1
37190,1,1,5,4,2,4,1,2,5,4,4,2,1,3,4,4,2,1,5,1,1
21363,5,5,2,2,4,1,1,2,3,2,1,5,4,1,5,1,2,5,5,4,0
71050,4,5,3,2,4,1,1,3,3,2,2,4,4,1,4,2,1,5,5,1,0
10658,4,5,3,1,5,1,2,4,1,2,1,5,4,1,4,3,2,4,5,3,0
18779,1,2,2,5,1,2,2,1,5,5,2,3,5,5,4,5,4,4,1,1,1
24566,4,4,2,2,5,2,1,4,2,3,1,5,5,1,5,1,1,5,5,4,0
34466,4,4,1,3,4,2,1,4,2,2,2,4,4,1,4,1,1,4,5,4,0
68641,1,4,1,1,1,5,1,1,5,2,2,1,1,3,5,1,3,2,5,1,1
48842,1,2,1,4,2,4,4,5,5,5,2,2,5,1,2,4,1,4,4,1,1
41165,1,1,5,5,5,2,5,1,5,5,1,4,1,5,1,5,1,1,5,1,1
30773,5,4,1,2,4,2,1,1,3,2,2,4,4,2,5,1,5,5,5,5,0
64046,4,5,4,3,5,1,1,2,4,2,1,3,1,3,4,2,3,5,5,1,0
5447,5,2,5,3,4,4,2,4,4,3,4,1,5,5,3,4,4,4,4,1,1
41515,4,3,3,1,5,2,1,5,3,1,1,4,5,1,5,2,1,5,5,1,0
49949,2,4,4,4,1,3,2,1,4,3,4,3,1,4,4,4,2,3,2,2,1
10299,2,4,2,2,2,1,1,4,5,1,1,5,2,4,4,5,2,4,5,1,0
21898,1,1,4,3,2,5,2,1,5,4,2,1,1,5,1,2,3,2,5,3,1
11425,5,5,1,4,5,1,1,4,4,5,1,4,4,1,5,1,5,5,5,4,0
8332,4,4,4,3,4,2,2,4,3,2,2,4,4,3,4,2,3,2,3,2,0
69531,1,1,2,4,1,5,5,2,5,5,2,4,4,3,3,4,3,2,5,1,1
12575,2,2,5,2,3,5,5,3,5,5,1,3,1,1,1,5,5,1,3,1,1
26705,4,5,1,2,5,1,1,4,2,1,2,2,4,1,5,1,1,5,5,4,0
5343,4,1,1,4,4,2,1,4,4,2,1,5,4,4,4,5,2,4,5,2,0
5641,5,5,1,1,5,1,1,4,4,1,1,4,3,1,1,2,1,2,5,4,0
